country,state,city,thana,union,zipcode
Bangladesh,Barishal,Barguna,Amtali,Amtali,8710
Bangladesh,Barishal,Barguna,Bamna,Bamna,8730
Bangladesh,Barishal,Barguna,Barguna Sadar,Barguna Sadar,8700
Bangladesh,Barishal,Barguna,Barguna Sadar,Nali Bandar,8701
Bangladesh,Barishal,Barguna,Betagi,Betagi,8740
Bangladesh,Barishal,Barguna,Betagi,Darul Ulam,8741
Bangladesh,Barishal,Barguna,Patharghata,Kakchira,8721
Bangladesh,Barishal,Barguna,Patharghata,Patharghata,8720
Bangladesh,Barishal,Barishal,Agailzhara,Agailzhara,8240
Bangladesh,Barishal,Barishal,Agailzhara,Gaila,8241
Bangladesh,Barishal,Barishal,Agailzhara,Paisarhat,8242
Bangladesh,Barishal,Barishal,Babuganj,Babuganj,8210
Bangladesh,Barishal,Barishal,Babuganj,Barishal Cadet,8216
Bangladesh,Barishal,Barishal,Babuganj,Chandpasha,8212
Bangladesh,Barishal,Barishal,Babuganj,Madhabpasha,8213
Bangladesh,Barishal,Barishal,Babuganj,Nizamuddin College,8215
Bangladesh,Barishal,Barishal,Babuganj,Rahamatpur,8211
Bangladesh,Barishal,Barishal,Babuganj,Thakur Mallik,8214
Bangladesh,Barishal,Barishal,Barajalia,Barajalia,8260
Bangladesh,Barishal,Barishal,Barajalia,Osman Manjil,8261
Bangladesh,Barishal,Barishal,Barishal Sadar,Barishal Sadar,8200
Bangladesh,Barishal,Barishal,Barishal Sadar,Bukhainagar,8201
Bangladesh,Barishal,Barishal,Barishal Sadar,Jaguarhat,8206
Bangladesh,Barishal,Barishal,Barishal Sadar,Kashipur,8205
Bangladesh,Barishal,Barishal,Barishal Sadar,Patang,8204
Bangladesh,Barishal,Barishal,Barishal Sadar,Saheberhat,8202
Bangladesh,Barishal,Barishal,Barishal Sadar,Sugandia,8203
Bangladesh,Barishal,Barishal,Gouranadi,Batajor,8233
Bangladesh,Barishal,Barishal,Gouranadi,Gouranadi,8230
Bangladesh,Barishal,Barishal,Gouranadi,Kashemabad,8232
Bangladesh,Barishal,Barishal,Gouranadi,Tarki Bandar,8231
Bangladesh,Barishal,Barishal,Mahendiganj,Langutia,8274
Bangladesh,Barishal,Barishal,Mahendiganj,Laskarpur,8271
Bangladesh,Barishal,Barishal,Mahendiganj,Mahendiganj,8270
Bangladesh,Barishal,Barishal,Mahendiganj,Nalgora,8273
Bangladesh,Barishal,Barishal,Mahendiganj,Ulania,8272
Bangladesh,Barishal,Barishal,Muladi,Charkalekhan,8252
Bangladesh,Barishal,Barishal,Muladi,Kazirchar,8251
Bangladesh,Barishal,Barishal,Muladi,Muladi,8250
Bangladesh,Barishal,Barishal,Sahebganj,Charamandi,8281
Bangladesh,Barishal,Barishal,Sahebganj,kalaskati,8284
Bangladesh,Barishal,Barishal,Sahebganj,Padri Shibpur,8282
Bangladesh,Barishal,Barishal,Sahebganj,Sahebganj,8280
Bangladesh,Barishal,Barishal,Sahebganj,Shialguni,8283
Bangladesh,Barishal,Barishal,Uzirpur,Dakuarhat,8223
Bangladesh,Barishal,Barishal,Uzirpur,Dhamura,8221
Bangladesh,Barishal,Barishal,Uzirpur,Jugirkanda,8222
Bangladesh,Barishal,Barishal,Uzirpur,Shikarpur,8224
Bangladesh,Barishal,Barishal,Uzirpur,Uzirpur,8220
Bangladesh,Barishal,Bhola,Bhola Sadar,Bhola Sadar,8300
Bangladesh,Barishal,Bhola,Bhola Sadar,Joynagar,8301
Bangladesh,Barishal,Bhola,Borhanuddin UPO,Borhanuddin UPO,8320
